Number	Token	Language	Named Entity	POS	Universal Dependency	Sentence
1069	I	Eng	O	PRON	PRON	s5
1070	am	Eng	O	VERB	VERB	s5
1071	also	Eng	O	ADV	ADV	s5
1072	deeply	Eng	O	ADV	ADV	s5
1073	grateful	Eng	O	ADJ	ADJ	s5
1074	to	Eng	O	ADP	ADP	s5
1075	my	Eng	O	DET	DET	s5
1076	sister	Eng	O	NOUN	NOUN	s5
1077	,	Eng	O	.	PUNCT	s5
1078	Laura	Spn	PERSON/PERS	NOUN	PROPN	s5
1079	Chávez	Spn	PERSON/PERS	NOUN	PROPN	s5
1080	Silverman	Eng	PERSON/PERS	NOUN	PROPN	s5
1081	.	Eng	O	.	PUNCT	s5
1082	Her	Eng	O/PERS	DET	DET	s6
1083	versión	Spn	O	NOUN	NOUN	s6
1084	tandiferente	Spn	O	X	X	s6
1085	of	Eng	O	ADP	ADP	s6
1086	many	Eng	O	ADV	ADV	s6
1087	key	Eng	O	ADJ	ADJ	s6
1088	moments	Eng	O	NOUN	NOUN	s6
1089	in	Eng	O	ADP	ADP	s6
1090	our	Eng	O	DET	DET	s6
1091	past	Eng	O	NOUN	NOUN	s6
1092	often	Eng	O	ADV	ADV	s6
1093	shakes	Eng	O	VERB	VERB	s6
1094	me	Spn	O	PRON	PRON	s6
1095	al	Spn	O	ADP	ADP	s6
1096	meollo	Spn	O	NOUN	NOUN	s6
1097	,	Spn	O	.	PUNCT	s6
1098	compelling	Eng	O	VERB	VERB	s6
1099	meIII	Eng	O	X	X	s6
1100	to	Eng	O	PRT	PART	s6
1101	re-examine	Eng	O	VERB	VERB	s6
1102	mi	Spn	O	DET	DET	s6
1103	concepto	Spn	O	NOUN	NOUN	s6
1104	de	Spn	O	ADP	ADP	s6
1105	la	Spn	O	DET	DET	s6
1106	memoria	Spn	O	NOUN	NOUN	s6
1107	y	Spn	O	CONJ	CCONJ	s6
1108	de	Spn	O	ADP	ADP	s6
1109	sus	Spn	O	DET	DET	s6
1110	(	Spn	O	.	PUNCT	s6
1111	im)posibilidades	Spn	O	NOUN	NOUN	s6
1112	.	Spn	O	.	PUNCT	s6
1113	A	Spn	O	ADP	ADP	s7
1114	mi	Spn	O	DET	DET	s7
1115	hijo	Spn	O	NOUN	NOUN	s7
1116	,	Spn	O	.	PUNCT	s7
1117	Etienne	Spn	PERSON/PERS	NOUN	PROPN	s7
1118	Joseph	Eng	PERSON/PERS	NOUN	PROPN	s7
1119	:	Eng	O	.	PUNCT	s7
1120	el	Spn	O	DET	DET	s7
1121	proceso	Spn	O	NOUN	NOUN	s7
1122	de	Spn	O	ADP	ADP	s7
1123	escribir	Spn	O	VERB	VERB	s7
1124	este	Spn	O	DET	DET	s7
1125	libro	Spn	O	NOUN	NOUN	s7
1126	coincided	Eng	O	VERB	VERB	s7
1127	with	Eng	O	ADP	ADP	s7
1128	your	Eng	O	DET	DET	s7
1129	adolescence	Eng	O	NOUN	NOUN	s7
1130	,	Eng	O	.	PUNCT	s7
1131	in	Eng	O	ADP	ADP	s7
1132	Buenos	Spn	LOCATION/LUG	NOUN	PROPN	s7
1133	Aires	Spn	LOCATION/LUG	NOUN	PROPN	s7
1134	and	Eng	O	CONJ	CCONJ	s7
1135	California	Eng	LOCATION/LUG	NOUN	PROPN	s7
1136	.	Eng	O	.	PUNCT	s7
1137	Everything	Eng	O/ORG	PRON	PRON	s8
1138	we’ve	Eng	O/ORG	VERB	AUX	s8
1139	lived	Eng	O/ORG	VERB	VERB	s8
1140	—	Eng	O	.	PUNCT	s8
1141	d	Eng	O	X	X	s8
1142	loved	Eng	O	VERB	VERB	s8
1143	—	Eng	O	.	PUNCT	s8
1144	through	Eng	O	ADP	ADP	s8
1145	these	Eng	O	DET	DET	s8
1146	past	Eng	O	ADJ	ADJ	s8
1147	couple	Eng	O	NOUN	NOUN	s8
1148	of	Eng	O	ADP	ADP	s8
1149	years	Eng	O	NOUN	NOUN	s8
1150	me	Spn	O	PRON	PRON	s8
1151	ha	Spn	O	VERB	AUX	s8
1152	nutrido	Spn	O	VERB	VERB	s8
1153	la	Spn	O	DET	DET	s8
1154	escritura	Spn	O	NOUN	NOUN	s8
1155	.	Spn	O	.	PUNCT	s8
1156	Gracias	Spn	O/OTROS	NOUN	PROPN	s9
1157	.	Spn	O	.	PUNCT	s9
1158	A	Spn	O	ADP	ADP	s10
1159	mi	Spn	O	DET	DET	s10
1160	abuela	Spn	O	NOUN	NOUN	s10
1161	,	Spn	O	.	PUNCT	s10
1162	Eunice	Eng	PERSON/PERS	NOUN	PROPN	s10
1163	Chávez	Spn	PERSON/PERS	NOUN	PROPN	s10
1164	,	Spn	O	.	PUNCT	s10
1165	gracias	Spn	O	NOUN	NOUN	s10
1166	Agüela	Spn	O/PERS	NOUN	PROPN	s10
1167	.	Spn	O	.	PUNCT	s10
1168	For	Eng	O	ADP	ADP	s11
1169	your	Eng	O	DET	DET	s11
1170	stories	Eng	O	NOUN	NOUN	s11
1171	,	Eng	O	.	PUNCT	s11
1172	your	Eng	O	DET	DET	s11
1173	language	Eng	O	NOUN	NOUN	s11
1174	,	Eng	O	.	PUNCT	s11
1175	y	Spn	O	CONJ	CCONJ	s11
1176	por	Spn	O	ADP	ADP	s11
1177	ti	Spn	O	PRON	PRON	s11
1178	misma	Spn	O	ADJ	ADJ	s11
1179	.	Spn	O	.	PUNCT	s11
1180	Mi	Spn	O	DET	DET	s12
1181	deuda	Spn	O	NOUN	NOUN	s12
1182	más	Spn	O	ADJ	ADJ	s12
1183	profunda	Spn	O	ADJ	ADJ	s12
1184	es	Spn	O	VERB	VERB	s12
1185	con	Spn	O	ADP	ADP	s12
1186	Pierre	Spn	PERSON/PERS	NOUN	PROPN	s12
1187	T.	Spn	PERSON/PERS	X	X	s12
1188	Rainville	Eng	PERSON/PERS	NOUN	PROPN	s12
1189	.	Eng	O	.	PUNCT	s12
1190	Thank	Eng	O	VERB	VERB	s13
1191	you	Eng	O	PRON	PRON	s13
1192	for	Eng	O	ADP	ADP	s13
1193	telling	Eng	O	VERB	VERB	s13
1194	me	Spn	O	PRON	PRON	s13
1195	,	Spn	O	.	PUNCT	s13
1196	in	Eng	O	ADP	ADP	s13
1197	Buenos	Spn	LOCATION/LUG	NOUN	PROPN	s13
1198	Aires	Spn	LOCATION/LUG	NOUN	PROPN	s13
1199	:	Spn	O	.	PUNCT	s13
1200	thiswriting	Eng	O	X	X	s13
1201	is	Eng	O	VERB	VERB	s13
1202	what	Eng	O	PRON	PRON	s13
1203	you	Eng	O	PRON	PRON	s13
1204	are	Eng	O	VERB	AUX	s13
1205	meant	Eng	O	VERB	VERB	s13
1206	to	Eng	O	PRT	PART	s13
1207	be	Eng	O	VERB	AUX	s13
1208	doing	Eng	O	VERB	VERB	s13
1209	with	Eng	O	ADP	ADP	s13
1210	your	Eng	O	DET	DET	s13
1211	life	Eng	O	NOUN	NOUN	s13
1212	.	Eng	O	.	PUNCT	s13
1213	Thank	Eng	O	VERB	VERB	s14
1214	you	Eng	O	PRON	PRON	s14
1215	for	Eng	O	ADP	ADP	s14
1216	your	Eng	O	DET	DET	s14
1217	editorial	Eng	O	ADJ	ADJ	s14
1218	,	Eng	O	.	PUNCT	s14
1219	technical	Eng	O	ADJ	ADJ	s14
1220	and	Eng	O	CONJ	CCONJ	s14
1221	computer	Eng	O	ADJ	ADJ	s14
1222	acumen	Spn	O	NOUN	NOUN	s14
1223	,	Spn	O	.	PUNCT	s14
1224	without	Eng	O	ADP	ADP	s14
1225	which	Eng	O	PRON	PRON	s14
1226	estos	Spn	O	DET	DET	s14
1227	fragmentos	Spn	O	NOUN	NOUN	s14
1228	could	Eng	O	VERB	AUX	s14
1229	never	Eng	O	ADV	ADV	s14
1230	have	Eng	O	VERB	AUX	s14
1231	taken	Eng	O	VERB	VERB	s14
1232	shape	Eng	O	NOUN	NOUN	s14
1233	as	Eng	O	ADP	ADP	s14
1234	a	Eng	O	DET	DET	s14
1235	book	Eng	O	NOUN	NOUN	s14
1236	.	Eng	O	.	PUNCT	s14
1237	Thank	Eng	O	VERB	VERB	s15
1238	you	Eng	O	PRON	PRON	s15
1239	for	Eng	O	ADP	ADP	s15
1240	your	Eng	O	DET	DET	s15
1241	constant	Eng	O	ADJ	ADJ	s15
1242	apoyo	Spn	O	NOUN	NOUN	s15
1243	en	Spn	O	ADP	ADP	s15
1244	esta	Spn	O	DET	DET	s15
1245	nuestra	Spn	O	DET	DET	s15
1246	empresa	Spn	O	NOUN	NOUN	s15
1247	común	Spn	O	ADJ	ADJ	s15
1248	:	Spn	O	.	PUNCT	s15
1249	as	Eng	O	ADP	ADP	s15
1250	parents	Eng	O	NOUN	NOUN	s15
1251	,	Eng	O	.	PUNCT	s15
1252	teachers	Eng	O	NOUN	NOUN	s15
1253	,	Eng	O	.	PUNCT	s15
1254	intellectuals	Eng	O	NOUN	NOUN	s15
1255	,	Eng	O	.	PUNCT	s15
1256	and	Eng	O	CONJ	CCONJ	s15
1257	viajeros	Spn	O	NOUN	NOUN	s15
1258	.	Spn	O	.	PUNCT	s15
1259	My	Eng	O	DET	DET	s16
1260	mother	Eng	O	NOUN	NOUN	s16
1261	,	Eng	O	.	PUNCT	s16
1262	June	Eng	PERSON/PERS	NOUN	PROPN	s16
1263	A.	Spn	PERSON/PERS	X	X	s16
1264	Chávez	Spn	PERSON/PERS	NOUN	PROPN	s16
1265	Silverman	Eng	PERSON/PERS	NOUN	PROPN	s16
1266	,	Eng	O	.	PUNCT	s16
1267	died	Eng	O	VERB	VERB	s16
1268	in	Eng	O	ADP	ADP	s16
1269	August	Eng	O/ORG	NOUN	PROPN	s16
1270	2003	Num	O/ORG	NUM	NUM	s16
1271	,	Num	O	.	PUNCT	s16
1272	six	Eng	O/ORG	NUM	NUM	s16
1273	months	Eng	O/ORG	NOUN	PROPN	s16
1274	before	Eng	O/ORG	ADP	ADP	s16
1275	I	Eng	O/ORG	PRON	PRON	s16
1276	finished	Eng	O/ORG	VERB	VERB	s16
1277	this	Eng	O/ORG	DET	DET	s16
1278	book	Eng	O/ORG	NOUN	PROPN	s16
1279	.	Eng	O	.	PUNCT	s16
1280	Killer	Eng	O/PERS	NOUN	PROPN	s17
1281	Crónicasis	Spn	O/PERS	X	X	s17
1282	dedicated	Eng	O	VERB	VERB	s17
1283	in	Eng	O	ADP	ADP	s17
1284	loving	Eng	O	ADJ	ADJ	s17
1285	memory	Eng	O	NOUN	NOUN	s17
1286	to	Eng	O	ADP	ADP	s17
1287	her	Eng	O	PRON	PRON	s17
1288	,	Eng	O	.	PUNCT	s17
1289	y	Spn	O	CONJ	CCONJ	s17
1290	a	Spn	O	ADP	ADP	s17
1291	la	Spn	O	DET	DET	s17
1292	memoria	Spn	O	NOUN	NOUN	s17
1293	de	Spn	O	ADP	ADP	s17
1294	mi	Spn	O	DET	DET	s17
1295	padre	Spn	O	NOUN	NOUN	s17
1296	,	Spn	O	.	PUNCT	s17
1297	Joseph	Eng	PERSON/PERS	NOUN	PROPN	s17
1298	H.	Spn	PERSON/PERS	X	X	s17
1299	Silverman	Eng	PERSON/PERS	NOUN	PROPN	s17
1300	.	Eng	O	.	PUNCT	s17
1301	Y	Spn	O	CONJ	CCONJ	s18
1302	a	Spn	O	ADP	ADP	s18
1303	Pierre	Spn	PERSON/PERS	NOUN	PROPN	s18
1304	.	Spn	O	.	PUNCT	s18
1305	Sin	Spn	O	ADP	ADP	s19
1306	vos	Spn	O	PRON	PRON	s19
1307	,	Spn	O	.	PUNCT	s19
1308	nada	Spn	O	PRON	PRON	s19
1309	.	Spn	O	.	PUNCT	s19
1310	January	Eng	O	NOUN	NOUN	s20
1311	2004	Num	O	NUM	NUM	s20
1312	Los	Spn	LOCATION/O	NOUN	NOUN	s20
1313	Angeles	Spn	LOCATION/LUG	NOUN	PROPN	s20
1314	Me	Spn	O	PRON	PRON	s20
1315	han	Spn	O	VERB	AUX	s20
1316	pedido	Spn	O	VERB	VERB	s20
1317	que	Spn	O	CONJ	SCONJ	s20
1318	(	Spn	O	.	PUNCT	s20
1319	me	Spn	O	PRON	PRON	s20
1320	)	Spn	O	.	PUNCT	s20
1321	explique	Spn	O	VERB	VERB	s20
1322	aquí	Spn	O	ADV	ADV	s20
1323	.	Spn	O	.	PUNCT	s20
1324	I	Eng	O	PRON	PRON	s21
1325	mean	Eng	O	VERB	VERB	s21
1326	,	Eng	O	.	PUNCT	s21
1327	que	Spn	O	CONJ	SCONJ	s21
1328	ehplique	Spn	O	VERB	VERB	s21
1329	mi	Spn	O	DET	DET	s21
1330	lengua	Spn	O	NOUN	NOUN	s21
1331	,	Spn	O	.	PUNCT	s21
1332	my	Eng	O	DET	DET	s21
1333	use	Eng	O	NOUN	NOUN	s21
1334	of	Eng	O	ADP	ADP	s21
1335	language	Eng	O	NOUN	NOUN	s21
1336	.	Eng	O	.	PUNCT	s21
1337	My	Eng	O	DET	DET	s22
1338	odd	Eng	O	ADJ	ADJ	s22
1339	oral	Eng	O	ADJ	ADJ	s22
1340	,	Eng	O	.	PUNCT	s22
1341	transcultural	Spn	O	ADJ	ADJ	s22
1342	ortografía	Spn	O	NOUN	NOUN	s22
1343	.	Spn	O	.	PUNCT	s22
1344	My	Eng	O	DET	DET	s23
1345	idioma	Spn	O	NOUN	NOUN	s23
1346	,	Spn	O	.	PUNCT	s23
1347	’	Spn	O	.	PUNCT	s23
1348	tis	Eng	O	VERB	VERB	s23
1349	of	Eng	O	ADP	ADP	s23
1350	thee	Eng	O	PRON	PRON	s23
1351	.	Eng	O	.	PUNCT	s23
1352	Bueno	Spn	O	PRT	PART	s24
1353	,	Spn	O	.	PUNCT	s24
1354	mi	Spn	O	DET	DET	s24
1355	lengua	Spn	O	NOUN	NOUN	s24
1356	.	Spn	O	.	PUNCT	s24
1357	.	Spn	O	.	PUNCT	s24
1358	.	Spn	O	.	PUNCT	s24
1359	is	Eng	O	VERB	VERB	s24
1360	a	Eng	O	DET	DET	s24
1361	hybrid	Eng	O	NOUN	NOUN	s24
1362	?	Eng	O	.	PUNCT	s24
1363	Nah	Eng	O/PERS	X	X	s25
1364	!	Eng	O	.	PUNCT	s25
1365	Demasiado	Spn	O	ADV	ADV	s26
1366	PoMo	Spn	O	X	X	s26
1367	,	Spn	O	.	PUNCT	s26
1368	trendy	Eng	O	ADJ	ADJ	s26
1369	,	Eng	O	.	PUNCT	s26
1370	too	Eng	O	ADV	ADV	s26
1371	Latino	Spn	O/ORG	NOUN	PROPN	s26
1372	Studies	Eng	O/ORG	NOUN	PROPN	s26
1373	(	Eng	O	.	PUNCT	s26
1374	even	Eng	O/ORG	ADV	ADV	s26
1375	if	Eng	O/ORG	ADP	ADP	s26
1376	it’s	Eng	O/ORG	PRON	PRON	s26
1377	TRUE	Eng	O/ORG	ADJ	ADJ	s26
1378	)	Eng	O	.	PUNCT	s26
1379	.	Eng	O	.	PUNCT	s26
1380	Been	Eng	O	VERB	VERB	s27
1381	there	Eng	O	ADV	ADV	s27
1382	,	Eng	O	.	PUNCT	s27
1383	done	Eng	O	VERB	VERB	s27
1384	that	Eng	O	PRON	PRON	s27
1385	.	Eng	O	.	PUNCT	s27
1386	A	Spn	O	PRT	PART	s28
1387	verrrrr	Spn	O	VERB	VERB	s28
1388	,	Spn	O	.	PUNCT	s28
1389	mi	Spn	O	DET	DET	s28
1390	lengua	Spn	O	NOUN	NOUN	s28
1391	.	Spn	O	.	PUNCT	s28
1392	.	Spn	O	.	PUNCT	s28
1393	.	Spn	O	.	PUNCT	s28
1394	es	Spn	O	VERB	VERB	s28
1395	un	Spn	O	DET	DET	s28
1396	palimpsesto	Spn	O	NOUN	NOUN	s28
1397	?	Spn	O	.	PUNCT	s28
1398	Sí	Spn	O	ADV	ADV	s29
1399	,	Spn	O	.	PUNCT	s29
1400	eso	Spn	O	PRON	PRON	s29
1401	está	Spn	O	VERB	VERB	s29
1402	mejor	Spn	O	ADJ	ADJ	s29
1403	.	Spn	O	.	PUNCT	s29
1404	It’s	Eng	O	PRON	PRON	s30
1405	a	Eng	O	DET	DET	s30
1406	sedimentation	Eng	O	NOUN	NOUN	s30
1407	of	Eng	O	ADP	ADP	s30
1408	.	Eng	O	.	PUNCT	s30
1409	.	Eng	O	.	PUNCT	s30
1410	.	Eng	O	.	PUNCT	s30
1411	hmm	Eng	O	X	X	s30
1412	.	Eng	O	.	PUNCT	s30
1413	OK	Eng	O/ORG	X	X	s31
1414	.	Eng	O	.	PUNCT	s31
1415	Para	Spn	O	ADP	ADP	s32
1416	explicar	Spn	O	VERB	VERB	s32
1417	estos	Spn	O	PRON	PRON	s32
1418	mis	Spn	O	DET	DET	s32
1419	flights	Eng	O	NOUN	NOUN	s32
1420	(	Eng	O	.	PUNCT	s32
1421	of	Eng	O	ADP	ADP	s32
1422	fancy	Eng	O	NOUN	NOUN	s32
1423	)	Eng	O	.	PUNCT	s32
1424	,	Eng	O	.	PUNCT	s32
1425	tendría	Spn	O	VERB	VERB	s32
1426	que	Spn	O	CONJ	SCONJ	s32
1427	empezar	Spn	O	VERB	VERB	s32
1428	por	Spn	O	ADP	ADP	s32
1429	decir	Spn	O	VERB	VERB	s32
1430	que	Spn	O	CONJ	SCONJ	s32
1431	soy	Spn	O	VERB	VERB	s32
1432	,	Spn	O	.	PUNCT	s32
1433	it	Eng	O	PRON	PRON	s32
1434	is	Eng	O	VERB	VERB	s32
1435	—	Eng	O	.	PUNCT	s32
1436	s	Eng	O	X	X	s32
1437	language	Eng	O	NOUN	NOUN	s32
1438	—	Eng	O	.	PUNCT	s32
1439	e	Spn	O	X	X	s32
1440	homing	Eng	O	ADJ	ADJ	s32
1441	pigeon	Eng	O	NOUN	NOUN	s32
1442	on	Eng	O	ADP	ADP	s32
1443	acid	Eng	O	NOUN	NOUN	s32
1444	.	Eng	O	.	PUNCT	s32
1445	Porque	Spn	O	CONJ	SCONJ	s33
1446	I	Eng	O	PRON	PRON	s33
1447	list	Eng	O	VERB	VERB	s33
1448	,	Eng	O	.	PUNCT	s33
1449	it	Eng	O	PRON	PRON	s33
1450	circles	Eng	O	VERB	VERB	s33
1451	back	Eng	O	ADP	ADP	s33
1452	,	Eng	O	.	PUNCT	s33
1453	flashes	Eng	O	VERB	VERB	s33
1454	patrás	Spn	O	X	X	s33
1455	,	Spn	O	.	PUNCT	s33
1456	wildly	Eng	O	ADV	ADV	s33
1457	inappropriate	Eng	O	ADJ	ADJ	s33
1458	,	Eng	O	.	PUNCT	s33
1459	really	Eng	O	ADV	ADV	s33
1460	,	Eng	O	.	PUNCT	s33
1461	to	Eng	O	ADP	ADP	s33
1462	the	Eng	O	DET	DET	s33
1463	last	Eng	O	ADJ	ADJ	s33
1464	port	Eng	O	NOUN	NOUN	s33
1465	en	Spn	O	ADP	ADP	s33
1466	el	Spn	O	DET	DET	s33
1467	cual	Spn	O	PRON	PRON	s33
1468	eché	Spn	O	VERB	VERB	s33
1469	ancla	Spn	O	NOUN	NOUN	s33
1470	.	Spn	O	.	PUNCT	s33
1471	In	Eng	O	ADP	ADP	s34
1472	other	Eng	O	ADJ	ADJ	s34
1473	words	Eng	O	NOUN	NOUN	s34
1474	,	Eng	O	.	PUNCT	s34
1475	para	Spn	O	ADP	ADP	s34
1476	captar	Spn	O	VERB	VERB	s34
1477	la	Spn	O	DET	DET	s34
1478	antaño	Spn	O	ADV	ADV	s34
1479	annoying	Eng	O	ADJ	ADJ	s34
1480	and	Eng	O	CONJ	CCONJ	s34
1481	now	Eng	O	ADV	ADV	s34
1482	oh	Eng	O	PRT	PART	s34
1483	so	Eng	O	ADV	ADV	s34
1484	entrañable	Spn	O	ADJ	ADJ	s34
1485	aspiration	Eng	O	NOUN	NOUN	s34
1486	and	Eng	O	CONJ	CCONJ	s34
1487	that	Eng	O	DET	DET	s34
1488	high	Eng	O	ADJ	ADJ	s34
1489	,	Eng	O	.	PUNCT	s34
1490	tirando	Spn	O	VERB	VERB	s34
1491	a	Spn	O	ADP	ADP	s34
1492	nasal	Spn	O	ADJ	ADJ	s34
1493	,	Spn	O	.	PUNCT	s34
1494	melancholy	Eng	O	ADJ	ADJ	s34
1495	,	Eng	O	.	PUNCT	s34
1496	apocalyptic	Eng	O	ADJ	ADJ	s34
1497	whine	Eng	O	NOUN	NOUN	s34
1498	que	Spn	O	CONJ	SCONJ	s34
1499	caracteriza	Spn	O	VERB	VERB	s34
1500	al	Spn	O	ADP	ADP	s34
1501	Río	Spn	LOCATION/LUG	NOUN	PROPN	s34
1502	de	Spn	LOCATION/O	NOUN	NOUN	s34
1503	la	Spn	LOCATION/O	NOUN	NOUN	s34
1504	Plata	Spn	LOCATION/OTROS	NOUN	PROPN	s34
1505	,	Spn	O	.	PUNCT	s34
1506	escribiendo	Spn	O	VERB	VERB	s34
1507	en	Spn	O	ADP	ADP	s34
1508	Los	Spn	LOCATION/O	NOUN	NOUN	s34
1509	Angeles	Spn	LOCATION/LUG	NOUN	PROPN	s34
1510	(	Spn	O	.	PUNCT	s34
1511	actually	Eng	O	ADV	ADV	s34
1512	,	Eng	O	.	PUNCT	s34
1513	a	Eng	O	DET	DET	s34
1514	little	Eng	O	ADJ	ADJ	s34
1515	before	Eng	O	ADV	ADV	s34
1516	,	Eng	O	.	PUNCT	s34
1517	still	Eng	O	ADV	ADV	s34
1518	en	Spn	O	ADP	ADP	s34
1519	Buenos	Spn	LOCATION/LUG	NOUN	PROPN	s34
1520	Aires	Spn	LOCATION/LUG	NOUN	PROPN	s34
1521	pero	Spn	O	CONJ	CCONJ	s34
1522	sabiendo	Spn	O	VERB	VERB	s34
1523	que	Spn	O	CONJ	SCONJ	s34
1524	me	Spn	O	PRON	PRON	s34
1525	quedaba	Spn	O	VERB	VERB	s34
1526	poco	Spn	O	NOUN	NOUN	s34
1527	,	Spn	O	.	PUNCT	s34
1528	tanpoco	Spn	O	X	X	s34
1529	tiempo	Spn	O	NOUN	NOUN	s34
1530	looking	Eng	O	VERB	VERB	s34
1531	out	Eng	O	ADP	ADP	s34
1532	my	Eng	O	DET	DET	s34
1533	warped-glass	Eng	O	ADJ	ADJ	s34
1534	,	Eng	O	.	PUNCT	s34
1535	third-floor	Eng	O	ADJ	ADJ	s34
1536	balcony	Eng	O	ADJ	ADJ	s34
1537	window	Eng	O	NOUN	NOUN	s34
1538	hacia	Spn	O	ADP	ADP	s34
1539	el	Spn	O	DET	DET	s34
1540	Jardín	Spn	O/ORG	NOUN	PROPN	s34
1541	Botánico	Spn	O/ORG	NOUN	PROPN	s34
1542	)	Spn	O	.	PUNCT	s34
1543	,	Spn	O	.	PUNCT	s34
1544	I	Eng	O/ORG	PRON	PRON	s34
1545	began	Eng	O/ORG	VERB	VERB	s34
1546	to	Eng	O/ORG	PRT	PART	s34
1547	transcribe	Eng	O/ORG	VERB	VERB	s34
1548	an	Eng	O/ORG	DET	DET	s34
1549	QUOTE-SYMBOL	Eng	O	.	PUNCT	s34
1550	h	Eng	O	X	X	s34
1551	QUOTE-SYMBOL	Eng	O	.	PUNCT	s34
1552	where	Eng	O	PRON	PRON	s34
1553	the	Eng	O	DET	DET	s34
1554	QUOTE-SYMBOL	Eng	O	.	PUNCT	s34
1555	s	Eng	O	X	X	s34
1556	QUOTE-SYMBOL	Eng	O	.	PUNCT	s34
1557	is	Eng	O	VERB	VERB	s34
1558	just	Eng	O	ADV	ADV	s34
1559	a	Eng	O	DET	DET	s34
1560	breath	Eng	O	NOUN	NOUN	s34
1561	,	Eng	O	.	PUNCT	s34
1562	down	Eng	O	ADP	ADP	s34
1563	there	Eng	O	PRON	PRON	s34
1564	.	Eng	O	.	PUNCT	s34
1565	Ehto	Spn	O/PERS	PRON	PRON	s35
1566	.	Spn	O	.	PUNCT	s35
1567	Queréh	Spn	O/PERS	VERB	VERB	s36
1568	?	Spn	O	.	PUNCT	s36
1569	Ehplicar	Spn	O/PERS	VERB	VERB	s37
1570	.	Spn	O	.	PUNCT	s37
1571	O	Spn	O	CONJ	CCONJ	s38
1572	ponía	Spn	O	VERB	VERB	s38
1573	la	Spn	O	DET	DET	s38
1574	QUOTE-SYMBOL	Spn	O	.	PUNCT	s38
1575	sh	Eng	O	X	X	s38
1576	QUOTE-SYMBOL	Eng	O	.	PUNCT	s38
1577	o	Spn	O	CONJ	CCONJ	s38
1578	QUOTE-SYMBOL	Spn	O	.	PUNCT	s38
